Year,Model / Paper Name,Dataset,Task,Methodology,Evaluation Protocol,Reported Metrics,Limitations,Relation to TGCF-IDS
2026,"CTGAD-X (Explainable Contrastive Temporal Graph IDS)","CIC-IDS2017 & TON_IoT","Multi-class Temporal Anomaly Detection","Self-supervised temporal graph contrastive learning with attention gating","5-fold cross-validation on NetFlow windows","Macro F1: 0.88-0.91, Accuracy: 94.2%","High memory consumption on large graphs; no raw tabular feature tokenizer","Validates TGCF-IDS contrastive pretraining branch and temporal windowing concept"
2025,"TCG-IDS (Temporal Contrastive Graph Learning)","UNSW-NB15 & BoT-IoT","10-Class Flow Classification","Temporal edge-aware contrastive graph encoder with asymmetric projection head","Time-series split (80/20 train/test)","Balanced Accuracy: 89.4%, Macro F1: 0.512, FPR: 2.1%","Evaluates Graph branch only; omits deep tabular multi-head self-attention","Direct precursor confirming temporal contrastive objective effectiveness on UNSW-NB15"
2025,"GraphIDS (NeurIPS 2025)","UNSW-NB15 & CIC-IDS2017","Unsupervised Flow Anomaly Detection","Graph Masked Autoencoder (GMAE) with relational message passing","Zero-shot anomaly score thresholding","ROC-AUC: 0.945, PR-AUC: 0.862, Precision: 0.881","Unsupervised binary detection only; fails to classify fine-grained minority attack categories","Complements TGCF-IDS contrastive pretraining with graph masking augmentations"
2025,"TE-G-SAGE (Temporal Edge-Aware GraphSAGE)","NF-UNSW-NB15-v3 & NF-CSE-CIC-IDS2018","Inductive Flow Classification","Edge-Aware GraphSAGE with SHAP post-hoc feature attribution","Standard stratified split","Macro F1: 0.485, Accuracy: 85.2%, Inference: 1.8ms/1k flows","Relies on external post-hoc SHAP rather than integrated path gradients; ignores tabular token interactions","Supports TGCF-IDS SAGEConv edge attribute integration and graph saliency explainability"
2025,"E-GraphSAGE++ (Dual-Focus Relational GNN)","BoT-IoT & ToN-IoT","Multi-class Network Intrusion Detection","Dual-focus topological and edge-attribute embedding aggregator","Random 70/30 split with SMOTE oversampling","Accuracy: 92.1%, Macro F1: 0.741, Recall: 0.882","SMOTE oversampling causes synthetic distribution leakage; lacks tabular token transformer","Demonstrates importance of 6D edge attributes; TGCF-IDS avoids synthetic oversampling"
2025,"BiTA (Bidirectional Recurrent Transformer Aggregator)","UNSW-NB15 & CSE-CIC-IDS2018","Temporal Traffic Anomaly Detection","Bidirectional GRU combined with Transformer attention pooling on flow sequences","Sequential temporal split","Accuracy: 88.6%, Weighted F1: 0.881, Latency: 14.2ms/1k flows","Sequence modeling only; ignores spatial IP/port graph topological dependencies","Confirms value of Transformer self-attention; TGCF-IDS combines it with spatial GNN"
2024,"E-GraphSAGE (Edge-Aware GraphSAGE NIDS)","UNSW-NB15 & CIC-IDS2017","Multi-class Flow Classification","Node and edge feature concatenation in neighborhood aggregation","Fixed train/test benchmark split","Accuracy: 84.7%, Macro F1: 0.463, FPR: 2.4%","Susceptible to over-smoothing; lacks self-attention across non-graph tabular attributes","TGCF-IDS extends E-GraphSAGE with cross-modal gated fusion and pretraining"
2024,"Spatial-Temporal Transformer IDS","UNSW-NB15","Multi-class Intrusion Detection","Multi-head self-attention with learned positional flow encodings","Standard official train/test split","Accuracy: 85.4%, Macro F1: 0.492, Precision: 0.518","Quadratic attention complexity on raw flows; ignores topological communication graph","Direct baseline showing tabular transformer capability; TGCF-IDS adds graph modality"
2024,"Cross-Dataset NIDS Benchmark (IEEE TIFS)","UNSW-NB15 <-> CIC-IDS2017","Cross-domain Generalization","Evaluation of 8 ML/DL classifiers across distinct dataset schemas","Zero-shot and transfer fine-tuning","Zero-Shot F1 drop: 35-60%, Fine-tuned F1 recovery: 20-35%","Only evaluated standard tabular models; did not evaluate dual-branch GNN-Transformers","Directly motivates TGCF-IDS Step 22 cross-dataset external validation protocol"
2024,"FT-Transformer for Tabular Security","UNSW-NB15 & TON_IoT","Tabular Intrusion Classification","Feature Tokenizer projecting numerical and categorical columns into embeddings + Transformer","Official split (175k train / 82k test)","Accuracy: 86.1%, Macro F1: 0.508, Weighted F1: 0.865","Tabular isolation: treats flows as independent IID samples, ignoring network topology","Forms the foundational Feature Branch in TGCF-IDS architecture"
2023,"G-Hist-IDS (IEEE TDSC)","UNSW-NB15 & CIC-IDS2017","Graph-based Intrusion Detection","Graph Convolutional Networks on communication graphs","Stratified 10-fold cross validation","Accuracy: 87.2%, Detection Rate: 89.1%, FPR: 3.1%","Transductive setting: requires full graph during training; prone to test leakage","TGCF-IDS uses inductive GraphSAGE to ensure strict zero-leakage inference"
2021,"FT-Transformer (Gorishniy et al., NeurIPS)","Tabular Benchmarks","Tabular Classification / Regression","Axiomatic Feature Tokenizer with Multi-Head Self-Attention for dense tabular data","Standard benchmark splits","Outperforms MLP, XGBoost, and ResNet on deep tabular tasks","High parameter overhead for high-cardinality features; non-graph","Adopted as the core tabular representation module in TGCF-IDS"
